"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","1","maschi","17_3","omicidio, aggressione","2017","2017",224,,
"IT","Italia","DEATH","morti","1","maschi","99","totale","2017","2017",310591,,
"IT","Italia","DEATH","morti","1","maschi","2_1_3","di cui tumori maligni dello stomaco","2017","2017",5518,,
"IT","Italia","DEATH","morti","1","maschi","2_1_6","di cui tumori maligni del pancreas","2017","2017",5998,,
"IT","Italia","DEATH","morti","1","maschi","2_1_9","di cui melanomi maligni della cute","2017","2017",1193,,
"IT","Italia","DEATH","morti","1","maschi","5_1","demenza","2017","2017",7058,,
"IT","Italia","DEATH","morti","1","maschi","5_4","altri disturbi psichici e comportamentali","2017","2017",650,,
"IT","Italia","DEATH","morti","1","maschi","7_1","malattie ischemiche del cuore","2017","2017",35152,,
"IT","Italia","DEATH","morti","1","maschi","12_2","altre malattie dell'apparato genitourinario","2017","2017",1421,,
"IT","Italia","DEATH","morti","1","maschi","15","malformazioni congenite ed anomalie cromosomiche","2017","2017",734,,
"IT","Italia","DEATH","morti","1","maschi","16_2","cause sconosciute e non specificate","2017","2017",1771,,
"IT","Italia","DEATH","morti","1","maschi","17_1","accidenti","2017","2017",11005,,
"IT","Italia","DEATH","morti","1","maschi","1_1","tubercolosi","2017","2017",185,,
"IT","Italia","DEATH","morti","1","maschi","1_4","altre malattie infettive e parassitarie","2017","2017",4537,,
"IT","Italia","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2017","2017",2103,,
"IT","Italia","DEATH","morti","1","maschi","3","malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario","2017","2017",1289,,
"IT","Italia","DEATH","morti","1","maschi","4_2","altre malattie endocrine, nutrizionali e metaboliche","2017","2017",2855,,
"IT","Italia","DEATH","morti","1","maschi","5_2","abuso di alcool (compresa psicosi alcolica)","2017","2017",179,,
"IT","Italia","DEATH","morti","1","maschi","11","malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",1125,,
"IT","Italia","DEATH","morti","1","maschi","12","malattie dell'apparato genitourinario","2017","2017",5596,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2017","2017",329,,
"IT","Italia","DEATH","morti","1","maschi","2","tumori","2017","2017",100123,,
"IT","Italia","DEATH","morti","1","maschi","2_1_2","di cui tumori maligni dell'esofago","2017","2017",1409,,
"IT","Italia","DEATH","morti","1","maschi","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2017","2017",6156,,
"IT","Italia","DEATH","morti","1","maschi","4","malattie endocrine, nutrizionali e metaboliche","2017","2017",13048,,
"IT","Italia","DEATH","morti","1","maschi","5","disturbi psichici e comportamentali","2017","2017",8003,,
"IT","Italia","DEATH","morti","1","maschi","5_3","dipendenza da droghe, tossicomania","2017","2017",116,,
"IT","Italia","DEATH","morti","1","maschi","6_1","morbo di parkinson","2017","2017",4153,,
"IT","Italia","DEATH","morti","1","maschi","11_1","artrite reumatoide a osteoartrosi","2017","2017",281,,
"IT","Italia","DEATH","morti","1","maschi","12_1","malattie del rene e dell'uretere","2017","2017",4175,,
"IT","Italia","DEATH","morti","1","maschi","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2017","2017",455,,
"IT","Italia","DEATH","morti","1","maschi","16_1","sindrome della morte improvvisa nell'infanzia","2017","2017",9,,
"IT","Italia","DEATH","morti","1","maschi","1","alcune malattie infettive e parassitarie","2017","2017",6183,,
"IT","Italia","DEATH","morti","1","maschi","1_3","epatite virale","2017","2017",1132,,
"IT","Italia","DEATH","morti","1","maschi","2_1_20","di cui leucemia","2017","2017",3466,,
"IT","Italia","DEATH","morti","1","maschi","2_2","tumori non maligni (benigni e di comportamento incerto)","2017","2017",5198,,
"IT","Italia","DEATH","morti","1","maschi","4_1","diabete mellito","2017","2017",10193,,
"IT","Italia","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",14468,,
"IT","Italia","DEATH","morti","1","maschi","9_1","ulcera dello stomaco, duodeno e digiuno","2017","2017",390,,
"IT","Italia","DEATH","morti","1","maschi","10","malattie della cute e del tessuto sottocutaneo","2017","2017",483,,
"IT","Italia","DEATH","morti","1","maschi","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",844,,
"IT","Italia","DEATH","morti","1","maschi","17_4","eventi di intento indeterminato","2017","2017",11,,
"IT","Italia","DEATH","morti","1","maschi","2_1_15","di cui tumori maligni del rene","2017","2017",2462,,
"IT","Italia","DEATH","morti","1","maschi","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2017","2017",1821,,
"IT","Italia","DEATH","morti","1","maschi","7_2","altre malattie del cuore","2017","2017",23015,,
"IT","Italia","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2017","2017",27890,,
"IT","Italia","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2017","2017",14615,,
"IT","Italia","DEATH","morti","1","maschi","17_1_3","di cui annegamento e sommersione accidentali","2017","2017",337,,
"IT","Italia","DEATH","morti","1","maschi","17_2","suicidio e autolesione intenzionale","2017","2017",3077,,
"IT","Italia","DEATH","morti","1","maschi","17_5","altre cause esterne di traumatismo e avvelenamento","2017","2017",256,,
"IT","Italia","DEATH","morti","1","maschi","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2017","2017",2368,,
"IT","Italia","DEATH","morti","1","maschi","17","cause esterne di traumatismo e avvelenamento","2017","2017",14573,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2017","2017",655,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2017","2017",2897,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2017","2017",345,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_10","di cui tumori maligni del seno","2017","2017",44,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_2","abuso di alcool (compresa psicosi alcolica)","2017","2017",49,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6","malattie del sistema nervoso e degli organi di senso","2017","2017",3916,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_3","altre malattie del sistema nervoso e degli organi di senso","2017","2017",1490,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2017","2017",3345,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16","sintomi, segni, risultati anomali e cause mal definite","2017","2017",1265,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2017","2017",851,,
"IT","Italia","DEATH","morti","1","maschi","9_2","cirrosi, fibrosi ed epatite cronica","2017","2017",3532,,
"IT","Italia","DEATH","morti","1","maschi","2_1_18","di cui tumori maligni della tiroide","2017","2017",197,,
"IT","Italia","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2017","2017",6591,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2017","2017",1872,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",6820,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_14","di cui tumori maligni della prostata","2017","2017",2074,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_1","morbo di parkinson","2017","2017",1206,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7","malattie del sistema circolatorio","2017","2017",25192,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1_2","du cui altre malattie ischemiche del cuore","2017","2017",5426,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_4","altre malattie del sistema circolatorio","2017","2017",4344,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_1","sindrome della morte improvvisa nell'infanzia","2017","2017",2,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17","cause esterne di traumatismo e avvelenamento","2017","2017",3625,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_2","di cui cadute accidentali","2017","2017",648,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1","alcune malattie infettive e parassitarie","2017","2017",1845,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2017","2017",677,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_20","di cui leucemia","2017","2017",970,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_2","tumori non maligni (benigni e di comportamento incerto)","2017","2017",1399,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_2","polmonite","2017","2017",2176,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",3577,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_1","ulcera dello stomaco, duodeno e digiuno","2017","2017",103,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","10","malattie della cute e del tessuto sottocutaneo","2017","2017",138,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_5","di cui altri accidenti","2017","2017",1181,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_4","eventi di intento indeterminato","2017","2017",4,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_3","epatite virale","2017","2017",298,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1","tumori maligni","2017","2017",27548,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_3","di cui tumori maligni dello stomaco","2017","2017",1624,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_6","di cui tumori maligni del pancreas","2017","2017",1784,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4_1","diabete mellito","2017","2017",2116,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_1","demenza","2017","2017",1993,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_4","altri disturbi psichici e comportamentali","2017","2017",186,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_2","malattia di alzheimer","2017","2017",1220,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",239,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12_2","altre malattie dell'apparato genitourinario","2017","2017",475,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","15","malformazioni congenite ed anomalie cromosomiche","2017","2017",208,,
"IT","Italia","DEATH","morti","1","maschi","6_3","altre malattie del sistema nervoso e degli organi di senso","2017","2017",4958,,
"IT","Italia","DEATH","morti","1","maschi","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2017","2017",3650,,
"IT","Italia","DEATH","morti","1","maschi","2_1","tumori maligni","2017","2017",94925,,
"IT","Italia","DEATH","morti","1","maschi","6_2","malattia di alzheimer","2017","2017",4148,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_9","di cui melanomi maligni della cute","2017","2017",359,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_15","di cui tumori maligni del rene","2017","2017",774,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1","malattie ischemiche del cuore","2017","2017",8771,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_2","altre malattie del cuore","2017","2017",5829,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2017","2017",7510,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2017","2017",3620,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_2","cause sconosciute e non specificate","2017","2017",412,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1","accidenti","2017","2017",2667,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_3","di cui annegamento e sommersione accidentali","2017","2017",74,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_2","suicidio e autolesione intenzionale","2017","2017",847,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_1","tubercolosi","2017","2017",64,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_4","altre malattie infettive e parassitarie","2017","2017",1381,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_18","di cui tumori maligni della tiroide","2017","2017",51,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2017","2017",566,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","3","malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario","2017","2017",338,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4_2","altre malattie endocrine, nutrizionali e metaboliche","2017","2017",676,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2017","2017",1639,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_2","cirrosi, fibrosi ed epatite cronica","2017","2017",879,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11","malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",314,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12","malattie dell'apparato genitourinario","2017","2017",1463,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_5","altre cause esterne di traumatismo e avvelenamento","2017","2017",53,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2017","2017",102,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2","tumori","2017","2017",28947,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_2","di cui tumori maligni dell'esofago","2017","2017",514,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_22","di cui altri tumori maligni","2017","2017",3347,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4","malattie endocrine, nutrizionali e metaboliche","2017","2017",2792,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5","disturbi psichici e comportamentali","2017","2017",2258,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_3","dipendenza da droghe, tossicomania","2017","2017",30,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_3","altre malattie dell'apparato digerente","2017","2017",2032,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11_1","artrite reumatoide a osteoartrosi","2017","2017",75,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12_1","malattie del rene e dell'uretere","2017","2017",988,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2017","2017",128,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_16","di cui tumori maligni della vescica","2017","2017",1226,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_19","di cui morbo di hodgkin e linfomi","2017","2017",949,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_3","malattie cerebrovascolari","2017","2017",6248,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_1","influenza","2017","2017",75,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3_1","di cui asma","2017","2017",43,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9","malattie dell'apparato digerente","2017","2017",3014,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_1","di cui accidenti di trasporto","2017","2017",693,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_4","di cui avvelenamento accidentale","2017","2017",71,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_3","omicidio, aggressione","2017","2017",54,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","99","totale","2017","2017",82953,,
"IT","Italia","DEATH","morti","9","totale","2_1_2","di cui tumori maligni dell'esofago","2017","2017",1921,,
"IT","Italia","DEATH","morti","9","totale","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2017","2017",9263,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",33904,,
"IT","Italia","DEATH","morti","9","totale","2_1_11","di cui tumori maligni della cervice uterina","2017","2017",494,,
"IT","Italia","DEATH","morti","9","totale","5_3","dipendenza da droghe, tossicomania","2017","2017",133,,
"IT","Italia","DEATH","morti","9","totale","6_1","morbo di parkinson","2017","2017",7585,,
"IT","Italia","DEATH","morti","9","totale","7","malattie del sistema circolatorio","2017","2017",232992,,
"IT","Italia","DEATH","morti","9","totale","7_1_2","du cui altre malattie ischemiche del cuore","2017","2017",45272,,
"IT","Italia","DEATH","morti","9","totale","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2017","2017",801,,
"IT","Italia","DEATH","morti","9","totale","16_1","sindrome della morte improvvisa nell'infanzia","2017","2017",17,,
"IT","Italia","DEATH","morti","9","totale","17","cause esterne di traumatismo e avvelenamento","2017","2017",25411,,
"IT","Italia","DEATH","morti","9","totale","1","alcune malattie infettive e parassitarie","2017","2017",14070,,
"IT","Italia","DEATH","morti","9","totale","1_3","epatite virale","2017","2017",2420,,
"IT","Italia","DEATH","morti","9","totale","2_1","tumori maligni","2017","2017",170554,,
"IT","Italia","DEATH","morti","9","totale","2_1_3","di cui tumori maligni dello stomaco","2017","2017",9407,,
"IT","Italia","DEATH","morti","9","totale","2_2","tumori non maligni (benigni e di comportamento incerto)","2017","2017",9531,,
"IT","Italia","DEATH","morti","9","totale","4_1","diabete mellito","2017","2017",22441,,
"IT","Italia","DEATH","morti","9","totale","5_1","demenza","2017","2017",22625,,
"IT","Italia","DEATH","morti","9","totale","5_4","altri disturbi psichici e comportamentali","2017","2017",1429,,
"IT","Italia","DEATH","morti","9","totale","10","malattie della cute e del tessuto sottocutaneo","2017","2017",1413,,
"IT","Italia","DEATH","morti","9","totale","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",2438,,
"IT","Italia","DEATH","morti","9","totale","12_2","altre malattie dell'apparato genitourinario","2017","2017",3044,,
"IT","Italia","DEATH","morti","9","totale","15","malformazioni congenite ed anomalie cromosomiche","2017","2017",1399,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2017","2017",465,,
"IT","Italia","DEATH","morti","9","totale","2","tumori","2017","2017",180085,,
"IT","Italia","DEATH","morti","9","totale","2_1_22","di cui altri tumori maligni","2017","2017",20360,,
"IT","Italia","DEATH","morti","9","totale","5","disturbi psichici e comportamentali","2017","2017",24406,,
"IT","Italia","DEATH","morti","9","totale","9","malattie dell'apparato digerente","2017","2017",23261,,
"IT","Italia","DEATH","morti","9","totale","9_3","altre malattie dell'apparato digerente","2017","2017",16898,,
"IT","Italia","DEATH","morti","9","totale","99","totale","2017","2017",650614,,
"IT","Italia","DEATH","morti","9","totale","2_1_9","di cui melanomi maligni della cute","2017","2017",2065,,
"IT","Italia","DEATH","morti","9","totale","2_1_12","di cui tumori maligni di altre parti dell'utero","2017","2017",2695,,
"IT","Italia","DEATH","morti","9","totale","2_1_15","di cui tumori maligni del rene","2017","2017",3706,,
"IT","Italia","DEATH","morti","9","totale","6_2","malattia di alzheimer","2017","2017",12768,,
"IT","Italia","DEATH","morti","9","totale","7_2","altre malattie del cuore","2017","2017",54751,,
"IT","Italia","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2017","2017",53372,,
"IT","Italia","DEATH","morti","9","totale","16_2","cause sconosciute e non specificate","2017","2017",2790,,
"IT","Italia","DEATH","morti","9","totale","17_1","accidenti","2017","2017",20565,,
"IT","Italia","DEATH","morti","9","totale","17_1_3","di cui annegamento e sommersione accidentali","2017","2017",415,,
"IT","Italia","DEATH","morti","9","totale","1_1","tubercolosi","2017","2017",297,,
"IT","Italia","DEATH","morti","9","totale","2_1_18","di cui tumori maligni della tiroide","2017","2017",499,,
"IT","Italia","DEATH","morti","9","totale","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2017","2017",3582,,
"IT","Italia","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2017","2017",25889,,
"IT","Italia","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2017","2017",13304,,
"IT","Italia","DEATH","morti","9","totale","9_2","cirrosi, fibrosi ed epatite cronica","2017","2017",5621,,
"IT","Italia","DEATH","morti","9","totale","17_2","suicidio e autolesione intenzionale","2017","2017",3940,,
"IT","Italia","DEATH","morti","9","totale","17_5","altre cause esterne di traumatismo e avvelenamento","2017","2017",559,,
"IT","Italia","DEATH","morti","9","totale","2_1_14","di cui tumori maligni della prostata","2017","2017",7696,,
"IT","Italia","DEATH","morti","9","totale","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2017","2017",4196,,
"IT","Italia","DEATH","morti","9","totale","2_1_20","di cui leucemia","2017","2017",6251,,
"IT","Italia","DEATH","morti","9","totale","7_4","altre malattie del sistema circolatorio","2017","2017",50277,,
"IT","Italia","DEATH","morti","9","totale","8_2","polmonite","2017","2017",13516,,
"IT","Italia","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",25437,,
"IT","Italia","DEATH","morti","9","totale","9_1","ulcera dello stomaco, duodeno e digiuno","2017","2017",742,,
"IT","Italia","DEATH","morti","9","totale","17_1_2","di cui cadute accidentali","2017","2017",4097,,
"IT","Italia","DEATH","morti","9","totale","1_4","altre malattie infettive e parassitarie","2017","2017",10888,,
"IT","Italia","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2017","2017",3206,,
"IT","Italia","DEATH","morti","9","totale","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2017","2017",19407,,
"IT","Italia","DEATH","morti","9","totale","4_2","altre malattie endocrine, nutrizionali e metaboliche","2017","2017",7078,,
"IT","Italia","DEATH","morti","9","totale","5_2","abuso di alcool (compresa psicosi alcolica)","2017","2017",219,,
"IT","Italia","DEATH","morti","9","totale","6","malattie del sistema nervoso e degli organi di senso","2017","2017",30672,,
"IT","Italia","DEATH","morti","9","totale","6_3","altre malattie del sistema nervoso e degli organi di senso","2017","2017",10319,,
"IT","Italia","DEATH","morti","9","totale","12","malattie dell'apparato genitourinario","2017","2017",12017,,
"IT","Italia","DEATH","morti","9","totale","13","complicazioni della gravidanza, del parto e del puerperio","2017","2017",16,,
"IT","Italia","DEATH","morti","9","totale","16","sintomi, segni, risultati anomali e cause mal definite","2017","2017",14257,,
"IT","Italia","DEATH","morti","9","totale","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2017","2017",11450,,
"IT","Italia","DEATH","morti","9","totale","2_1_10","di cui tumori maligni del seno","2017","2017",12995,,
"IT","Italia","DEATH","morti","9","totale","2_1_13","di cui tumori maligni dell'ovaio","2017","2017",3336,,
"IT","Italia","DEATH","morti","9","totale","2_1_16","di cui tumori maligni della vescica","2017","2017",6253,,
"IT","Italia","DEATH","morti","9","totale","2_1_19","di cui morbo di hodgkin e linfomi","2017","2017",5318,,
"IT","Italia","DEATH","morti","9","totale","7_3","malattie cerebrovascolari","2017","2017",60175,,
"IT","Italia","DEATH","morti","9","totale","8_1","influenza","2017","2017",663,,
"IT","Italia","DEATH","morti","9","totale","8_3_1","di cui asma","2017","2017",452,,
"IT","Italia","DEATH","morti","9","totale","17_3","omicidio, aggressione","2017","2017",335,,
"IT","Italia","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2017","2017",1614,,
"IT","Italia","DEATH","morti","9","totale","4","malattie endocrine, nutrizionali e metaboliche","2017","2017",29519,,
"IT","Italia","DEATH","morti","9","totale","11_1","artrite reumatoide a osteoartrosi","2017","2017",1213,,
"IT","Italia","DEATH","morti","9","totale","12_1","malattie del rene e dell'uretere","2017","2017",8973,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","1","alcune malattie infettive e parassitarie","2017","2017",2307,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","1_3","epatite virale","2017","2017",349,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2017","2017",541,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_1_20","di cui leucemia","2017","2017",723,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_2","tumori non maligni (benigni e di comportamento incerto)","2017","2017",1218,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","4_1","diabete mellito","2017","2017",2536,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",3014,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","9_1","ulcera dello stomaco, duodeno e digiuno","2017","2017",111,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","10","malattie della cute e del tessuto sottocutaneo","2017","2017",261,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2017","2017",487,,
